epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,863.731,1.25372,3.63831,1.34993,0.41882,0.51878,0.48767,0.33019,1.31458,3.42203,1.3953,0.000472779,0.000472779,0.000472779
2,1703.62,1.24728,2.53265,1.3273,0.68688,0.54365,0.6034,0.3976,1.27592,3.02636,1.47004,0.00085515,0.00085515,0.00085515
3,2481.13,1.25568,2.04113,1.33128,0.61848,0.56011,0.58589,0.39335,1.28484,2.07168,1.41002,0.00114321,0.00114321,0.00114321
4,3250.18,1.2202,1.65847,1.29839,0.54299,0.52991,0.53026,0.335,1.50751,2.18511,1.56921,0.00100459,0.00100459,0.00100459
5,3990.68,1.15462,1.44255,1.26487,0.76883,0.63445,0.73907,0.52659,1.13311,1.39066,1.28035,0.000863116,0.000863116,0.000863116
6,4742.5,1.0868,1.27191,1.22259,0.80242,0.68463,0.78916,0.5642,1.11923,1.24203,1.25011,0.000721645,0.000721645,0.000721645
7,5439.53,1.04827,1.13491,1.18637,0.81304,0.77747,0.83144,0.59947,1.093,1.12308,1.23116,0.000580174,0.000580174,0.000580174
8,6128.39,0.9933,1.01069,1.15807,0.81127,0.78766,0.85673,0.63013,1.01466,1.02455,1.18736,0.000438703,0.000438703,0.000438703
9,6819.38,0.94166,0.92432,1.12855,0.86314,0.80083,0.87025,0.65352,1.00412,0.94631,1.17852,0.000297232,0.000297232,0.000297232
10,7648.18,0.90679,0.84171,1.09651,0.8667,0.82649,0.88699,0.67162,0.96457,0.88501,1.17025,0.000155761,0.000155761,0.000155761
