epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1066.22,1.0743,1.23329,1.20816,0.7283,0.66931,0.71658,0.52067,1.15807,1.47622,1.29163,0.000472779,0.000472779,0.000472779
2,1926.13,1.12303,1.25591,1.23459,0.66613,0.57497,0.65479,0.45645,1.20604,1.80119,1.33944,0.00093032,0.00093032,0.00093032
3,2744.43,1.19452,1.36667,1.28758,0.72415,0.65679,0.70918,0.49767,1.19508,1.4014,1.35206,0.001369,0.001369,0.001369
4,3485.24,1.21396,1.38122,1.30625,0.60147,0.66426,0.67845,0.49029,1.19435,1.53559,1.34166,0.00134412,0.00134412,0.00134412
5,4237.73,1.19866,1.31106,1.29413,0.78761,0.64861,0.74014,0.51168,1.17978,1.31688,1.34439,0.00131582,0.00131582,0.00131582
6,4991.93,1.17844,1.3145,1.29246,0.6023,0.49316,0.52625,0.35193,1.36889,2.0705,1.45446,0.00128753,0.00128753,0.00128753
7,5732.35,1.14266,1.18821,1.26044,0.81355,0.73703,0.81369,0.59774,1.096,1.14475,1.25188,0.00125923,0.00125923,0.00125923
8,6596.75,1.16828,1.18384,1.2728,0.82942,0.69686,0.80429,0.58022,1.13778,1.13895,1.29934,0.00123094,0.00123094,0.00123094
9,7586.58,1.14747,1.17696,1.25251,0.70905,0.80199,0.83925,0.60241,1.12074,1.04898,1.29045,0.00120265,0.00120265,0.00120265
10,8368.69,1.12032,1.14769,1.23958,0.76177,0.78976,0.82334,0.59001,1.11463,0.99144,1.26071,0.00117435,0.00117435,0.00117435
11,9117.24,1.09992,1.08561,1.22426,0.77168,0.75629,0.82247,0.6028,1.11852,1.08227,1.29069,0.00114606,0.00114606,0.00114606
12,9906.02,1.08433,1.03556,1.2133,0.80637,0.82382,0.86081,0.61471,1.11935,0.95311,1.29019,0.00111776,0.00111776,0.00111776
13,10691.9,1.1196,1.03708,1.23781,0.79137,0.77895,0.83933,0.61452,1.0792,0.95969,1.24916,0.00108947,0.00108947,0.00108947
14,11428.4,1.05571,1.00214,1.19148,0.79284,0.70553,0.80774,0.57896,1.08156,1.08315,1.25775,0.00106118,0.00106118,0.00106118
15,12174.8,1.05287,1.00663,1.20048,0.81255,0.76835,0.83532,0.61203,1.06685,0.98938,1.23882,0.00103288,0.00103288,0.00103288
16,13066.5,1.03335,0.97338,1.19136,0.79755,0.7909,0.85998,0.61965,1.07052,0.94019,1.23365,0.00100459,0.00100459,0.00100459
17,13999,1.02963,0.97873,1.20273,0.83326,0.77686,0.83941,0.60516,1.07848,0.95465,1.26824,0.000976293,0.000976293,0.000976293
18,15386.9,1.02786,0.93903,1.18719,0.83288,0.80064,0.85743,0.62657,1.07014,0.86475,1.24884,0.000947999,0.000947999,0.000947999
19,16140.2,1.01017,0.89037,1.17711,0.83787,0.79888,0.85342,0.61465,1.08827,0.96688,1.25533,0.000919704,0.000919704,0.000919704
20,16900.9,0.9997,0.90258,1.171,0.80827,0.78232,0.82116,0.60072,1.10453,1.0006,1.2617,0.00089141,0.00089141,0.00089141
21,17656.5,1.00518,0.91049,1.17329,0.85412,0.80822,0.86782,0.63784,1.06568,0.90023,1.20799,0.000863116,0.000863116,0.000863116
22,18355.9,0.99767,0.90081,1.17317,0.83901,0.79673,0.85385,0.63052,1.04496,0.86668,1.23494,0.000834822,0.000834822,0.000834822
23,19041.4,0.98551,0.84004,1.1584,0.84389,0.82598,0.882,0.65441,1.02026,0.8231,1.20646,0.000806528,0.000806528,0.000806528
24,19725.5,0.98266,0.84541,1.16009,0.85119,0.82463,0.88156,0.65568,1.01865,0.83573,1.20252,0.000778233,0.000778233,0.000778233
25,20409.2,0.95252,0.82456,1.15248,0.87883,0.81996,0.88801,0.67597,0.99609,0.76819,1.20239,0.000749939,0.000749939,0.000749939
26,21236.7,0.94196,0.79912,1.13788,0.88539,0.83014,0.9004,0.67949,0.97683,0.74522,1.20686,0.000721645,0.000721645,0.000721645
27,22186.7,0.93548,0.7778,1.14021,0.8451,0.80407,0.87202,0.66029,0.99383,0.82922,1.22847,0.000693351,0.000693351,0.000693351
28,23247.7,0.91815,0.76085,1.11758,0.87289,0.78305,0.86761,0.64622,1.02422,0.83515,1.22732,0.000665057,0.000665057,0.000665057
29,23939,0.91456,0.75624,1.11139,0.88494,0.81213,0.88646,0.67499,1.00389,0.75638,1.22557,0.000636762,0.000636762,0.000636762
30,24690.9,0.91061,0.74216,1.11985,0.85542,0.83747,0.88626,0.66685,0.99249,0.74761,1.2133,0.000608468,0.000608468,0.000608468
31,25404.8,0.90137,0.74292,1.11575,0.86381,0.82039,0.88847,0.66811,0.99712,0.7613,1.20509,0.000580174,0.000580174,0.000580174
32,26092.8,0.89139,0.69782,1.10165,0.83696,0.87391,0.90233,0.68789,0.96963,0.73964,1.17485,0.00055188,0.00055188,0.00055188
33,26778.1,0.87532,0.70409,1.08972,0.85035,0.85494,0.89924,0.66923,1.01528,0.73243,1.22139,0.000523586,0.000523586,0.000523586
34,27465.2,0.86137,0.68239,1.08253,0.90052,0.83968,0.91091,0.68615,0.98861,0.6968,1.19024,0.000495291,0.000495291,0.000495291
35,28148.4,0.89158,0.71809,1.10559,0.86956,0.84761,0.89823,0.68026,0.99345,0.71757,1.21154,0.000466997,0.000466997,0.000466997
